slug,cond,src_chars,out_chars,change_pct,reached_-20,atoms_total,atoms_lost,atoms_lost_list,claims_total,claims_auto_pass,claims_to_judge,headings_src_out,bullets_src_out
csv-to-sheet-automation,B,1403,1284,-8.5,False,8,0,,3,2,1,3/3,9/9
csv-to-sheet-automation,C,1403,1315,-6.3,False,8,0,,3,2,1,3/3,9/9
diagnosis-what-you-get,0,1797,1660,-7.6,False,19,0,,5,3,2,6/6,7/7
diagnosis-what-you-get,A,1797,1697,-5.6,False,19,0,,5,3,2,6/6,7/7
diagnosis-what-you-get,B,1797,1666,-7.3,False,19,0,,5,4,1,6/6,7/7
diagnosis-what-you-get,C,1797,1653,-8.0,False,19,0,,5,2,3,6/6,7/7
estimate-compare-five,0,1348,1279,-5.1,False,10,0,,2,1,1,3/3,9/9
estimate-compare-five,A,1348,1311,-2.7,False,10,0,,2,1,1,3/3,9/9
estimate-compare-five,B,1348,1227,-9.0,False,10,1,5 項目×1,2,1,1,3/3,9/9
estimate-compare-five,C,1348,1168,-13.4,False,10,1,5 項目×1,2,1,1,3/3,9/9
five-checks-before-accepting,0,1255,1168,-6.9,False,11,1,5 つ×1,1,1,0,7/7,0/0
five-checks-before-accepting,A,1255,1193,-4.9,False,11,1,5 つ×1,1,1,0,7/7,0/0
five-checks-before-accepting,B,1255,983,-21.7,True,11,1,5 つ×1,1,1,0,7/7,0/0
five-checks-before-accepting,C,1255,1172,-6.6,False,11,1,5 つ×1,1,1,0,7/7,0/0
inherited-without-spec,0,1276,1193,-6.5,False,11,1,1 つ×1,3,2,1,3/3,9/9
inherited-without-spec,A,1276,1189,-6.8,False,11,1,1 つ×1,3,2,1,3/3,9/9
inherited-without-spec,B,1276,1212,-5.0,False,11,1,1 つ×1,3,3,0,3/3,9/9
inherited-without-spec,C,1276,1142,-10.5,False,11,1,1 つ×1,3,2,1,3/3,9/9
nocode-fails-in-production,0,1149,1076,-6.4,False,14,0,,1,1,0,3/3,9/9
nocode-fails-in-production,A,1149,1024,-10.9,False,14,0,,1,0,1,3/3,9/9
nocode-fails-in-production,B,1149,922,-19.8,False,14,0,,1,0,1,3/3,9/9
nocode-fails-in-production,C,1149,1067,-7.1,False,14,0,,1,1,0,3/3,9/9
outsourced-unfinished,0,1509,1448,-4.0,False,7,0,,1,1,0,3/3,15/15
outsourced-unfinished,A,1509,1394,-7.6,False,7,0,,1,1,0,3/3,15/15
outsourced-unfinished,B,1509,1389,-8.0,False,7,0,,1,1,0,3/3,15/15
outsourced-unfinished,C,1509,1395,-7.6,False,7,0,,1,1,0,3/3,15/15
paste-code-into-ai,0,1762,1650,-6.4,False,9,1,4 つ×1,1,1,0,3/3,11/11
paste-code-into-ai,A,1762,1688,-4.2,False,9,1,4 つ×1,1,0,1,3/3,11/11
paste-code-into-ai,B,1762,1647,-6.5,False,9,0,,1,1,0,3/3,11/11
paste-code-into-ai,C,1762,1572,-10.8,False,9,0,,1,1,0,3/3,11/11
site-slow-measure-first,0,1290,1166,-9.6,False,12,0,,1,1,0,3/3,7/7
site-slow-measure-first,A,1290,1191,-7.7,False,12,1,3 つ×1,1,1,0,3/3,7/7
site-slow-measure-first,B,1290,1159,-10.2,False,12,0,,1,1,0,3/3,7/7
site-slow-measure-first,C,1290,1018,-21.1,True,12,1,3 つ×1,1,1,0,3/3,7/7
vendor-unreachable,0,1303,1246,-4.4,False,5,0,,2,2,0,3/3,6/6
vendor-unreachable,A,1303,1232,-5.4,False,5,0,,2,1,1,3/3,6/6
vendor-unreachable,B,1303,1232,-5.4,False,5,0,,2,0,2,3/3,6/6
vendor-unreachable,C,1303,1225,-6.0,False,5,0,,2,0,2,3/3,6/6
