slug,cond,claim,出力側でいちばん近い文（機械が選んだ候補・裁定は人）,類似度,当方の見立て（類似度 ≥0.85＝言い換えて残った／それ未満＝要確認。裁定欄は人が書く）,裁定（言い換えて残った／落ちた／反転）,根拠
csv-to-sheet-automation,B,合意してから作り、納品では合否条件を通した検証の結果と、確かめていない範囲も一緒に渡します。,合意してから作り、納品では検証の結果と、確かめていない範囲も一緒に渡します。,0.9,言い換えて残った（見立て）,落ちた,「合否条件を通した」という検証の受入条件が短縮後に消えており、単なる「検証の結果」に弱まっている
csv-to-sheet-automation,C,合意してから作り、納品では合否条件を通した検証の結果と、確かめていない範囲も一緒に渡します。,合意してから作り、納品では検証の結果と確かめていない範囲も渡します。,0.85,言い換えて残った（見立て）,落ちた,「合否条件を通した」という検証の受入条件が短縮後に消えており、単なる「検証の結果」に弱まっている
diagnosis-what-you-get,A,** 「たまに落ちる」「お客さんの環境でだけ起きる」は、再現の条件が見つかるまで原因を名指ししません。,** 「たまに落ちる」「お客さんの環境でだけ起きる」は、再現条件が見つかるまで原因を名指ししません。,0.99,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
diagnosis-what-you-get,A,それで足りないと分かった時点で手を止め、そこまでに確かめた条件と「見ていない箇所」をレポートに書いて診断を終えます（費用は同じ）。,足りないと分かった時点で手を止め、確かめた条件と「見ていない箇所」をレポートに書いて診断を終えます（費用は同じ）。,0.93,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
diagnosis-what-you-get,B,それで足りないと分かった時点で手を止め、そこまでに確かめた条件と「見ていない箇所」をレポートに書いて診断を終えます（費用は同じ）。,それで足りないと分かった時点で手を止め、確かめた条件と「見ていない箇所」をレポートに書いて診断を終えます（費用は同じ）。,0.96,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
diagnosis-what-you-get,C,** 「たまに落ちる」「お客さんの環境でだけ起きる」は、再現の条件が見つかるまで原因を名指ししません。,** 「たまに落ちる」「お客さんの環境でだけ起きる」は、再現条件が見つかるまで原因を名指ししません。,0.99,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
diagnosis-what-you-get,C,それで足りないと分かった時点で手を止め、そこまでに確かめた条件と「見ていない箇所」をレポートに書いて診断を終えます（費用は同じ）。,足りないと分かった時点で手を止め、確かめた条件と「見ていない箇所」を書いて診断を終えます（費用は同じ）。,0.89,言い換えて残った（見立て）,言い換えて残った,不足時に停止し、確認済み条件と未確認箇所を記録して診断終了する意味を保持
diagnosis-what-you-get,C,黙って広げることも、黙って切り上げることもしません。,黙って広げることも切り上げることもしません。,0.92,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
estimate-compare-five,A,第三者が見るときも、金額の妥当性そのものは判定しません。,第三者が見るときも、金額の妥当性は判定しません。,0.92,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
estimate-compare-five,B,第三者が見るときも、金額の妥当性そのものは判定しません。,第三者も、金額の妥当性そのものは判定しません。,0.9,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
estimate-compare-five,C,第三者が見るときも、金額の妥当性そのものは判定しません。,第三者も金額の妥当性は判定しません。,0.78,要確認,言い換えて残った,「第三者も金額の妥当性を判定しない」という否定条件を保持
inherited-without-spec,A,合っているかどうか分からない結果は、基準にしません。,合っているか分からない結果は基準にしません。,0.92,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
inherited-without-spec,C,合っているかどうか分からない結果は、基準にしません。,合っているか分からない結果は基準にしません。,0.92,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
nocode-fails-in-production,A,ツール側の制限で直しようがない場合は、その旨と代替案（プランの変更・処理の分割・その部分だけ別の道具）をレポートに書いて、診断で終わります。,ツール側の制限で直しようがない場合は、その旨と代替案（プランの変更・処理の分割・その部分だけ別の道具）をレポートに書いて終わります。,0.97,言い換えて残った（見立て）,言い換えて残った,修理不能時に代替案を記録してそこで終了する境界は保持。「診断で」の語は省略されたが運用上の結論は同じ
nocode-fails-in-production,B,ツール側の制限で直しようがない場合は、その旨と代替案（プランの変更・処理の分割・その部分だけ別の道具）をレポートに書いて、診断で終わります。,ツールの制限で直しようがない場合は、代替案（プラン変更・処理の分割・その部分だけ別の道具）を書いて診断で終わります。,0.91,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
paste-code-into-ai,A,4 つを満たしても、秘密保持契約・社内規程・コードの権利・使う AI サービスの保存と利用の条件によっては、外部に入力できません。,満たしても、秘密保持契約・社内規程・コードの権利・AI サービスの保存と利用の条件によっては、外部に入力できません。,0.94,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
vendor-unreachable,A,この記事の主題は、コードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) のほうを読んでください）。,この記事の主題は、コードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) を読んでください）。,0.99,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
vendor-unreachable,B,この記事の主題は、コードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) のほうを読んでください）。,この記事の主題はコードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) を読んでください）。,0.98,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
vendor-unreachable,B,「全部作り直し」にはしません。,「全部作り直し」にはせず、動いている部分は動いたまま残すのが基本です。,0.48,要確認,言い換えて残った,「全部作り直しにしない」を保持し、動作部分を残す説明を追加
vendor-unreachable,C,この記事の主題は、コードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) のほうを読んでください）。,この記事の主題はコードの中身ではなく、コード・アカウント・鍵・契約の**所有と権限**です（動きが分からない場合は [仕様書のないシステムを引き継いだ](/works/guide/inherited-without-spec/) を読んでください）。,0.98,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
vendor-unreachable,C,「全部作り直し」にはしません。,「全部作り直し」にはせず、動いている部分は動いたまま残すのが基本です。,0.48,要確認,言い換えて残った,「全部作り直しにしない」を保持し、動作部分を残す説明を追加
